Source:,C:\Users\bosol\Documents\KiCAD\Tindie\USB to UART\UtU\UtU.sch,,,,,
Date:,01-09-2020 15:56:24,,,,,
Tool:,Eeschema (5.1.6)-1,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,20,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Designator,Description / Value,Digi-Key_PN,Mfg Part #,Manufacturer
1,1,C1,CAP CER 10000PF 16V X7R 0805,311-3161-1-ND,	AC0805KRX7R7BB103,Yageo
2,2,"C2, C5",CAP CER 0.022UF 16V X7R 0805,311-3163-1-ND,AC0805KRX7R7BB223,Yageo
3,2,"C3, C4",CAP CER 47PF 50V C0G/NPO 0805,311-1107-1-ND,CC0805JRNPO9BN470,Yageo
4,2,"C6, C7",CAP CER 0.1UF 16V X7R 0805,311-1142-1-ND,CC0805KRX7R7BB104,Yageo
5,1,C8,CAP CER 4.7UF 16V X5R 0805,311-1867-1-ND,CC0805KKX5R7BB475,Yageo
6,1,D1,TVS DIODE 5.5V 8.5V SOT143-4,F2715CT-ND,SP0503BAHTG,Littelfuse Inc.
7,1,D2,LED GREEN DIFFUSED 0805 SMD,475-1410-1-ND,LG R971-KN-1,OSRAM Opto Semiconductors Inc.
8,1,D3,LED RED DIFFUSED 0805 SMD,475-1415-1-ND,LH R974-LP-1,OSRAM Opto Semiconductors Inc.
9,1,FB1,FERRITE BEAD 600 OHM 0805,240-2390-1-ND,MI0805K601R-10,Laird-Signal Integrity Products
10,1,J1,CONN RCPT USB2.0 TYPEB 4POS R/A,102-3999-ND,UJ2-BH-1-TH,CUI Devices
11,1,J2,CONN HEADER R/A 4POS 2.54MM,2057-PH1RB-04-UA-ND,PH1RB-04-UA,Adam Tech
12,2,"R1, R2",RES SMD 27 OHM 1% 1/8W 0805,311-27.0CRCT-ND,RC0805FR-0727RL,Yageo
13,1,R3,RES SMD 560 OHM 5% 1/8W 0805,311-560ARCT-ND,	RC0805JR-07560RL,Yageo
14,1,R4,RES SMD 680 OHM 5% 1/8W 0805,311-680ARCT-ND,	RC0805JR-07680RL,Yageo
15,1,U1,DGTL ISO 5000VRMS 2CH GP 8SOIC,ADUM226N0BRIZ-ND,ADUM226N0BRIZ,Analog Devices Inc.
16,1,U2,IC USB SERIAL BASIC UART 16QFN,768-1130-1-ND,FT230XQ-R,"FTDI, Future Technology Devices International Ltd"
